20260313 071700;24638.5;24643.5;24628.25;24643.5;39
20260313 071800;24641;24646;24634.5;24637.25;38
20260313 071900;24636.5;24645.75;24636.5;24643.5;8
20260313 072000;24642.5;24647.25;24640;24642.75;24
20260313 072100;24644.25;24650;24641.75;24649;21
20260313 072200;24644.75;24647.25;24633.75;24633.75;14
20260313 072300;24630;24630;24623.25;24625;22
20260313 072400;24635;24635;24631.25;24631.25;5
20260313 072500;24643.25;24647.25;24643;24647.25;10
20260313 072600;24652.75;24652.75;24648;24651.5;16
20260313 072700;24655;24660;24646.25;24646.25;19
20260313 072800;24650;24656.5;24646.75;24656.5;13
20260313 072900;24659.75;24665.25;24659.75;24665.25;42
20260313 073000;24670.25;24674;24670.25;24671;9
20260313 073100;24668.75;24672;24668.75;24672;4
20260313 073200;24669.75;24669.75;24661;24661;13
20260313 073300;24660.75;24670;24660.75;24668.25;8
20260313 073400;24675;24675;24669.75;24670.75;4
20260313 073500;24665;24670.75;24663.5;24663.5;4
20260313 073600;24668;24679;24668;24678.75;9
20260313 073700;24677.75;24677.75;24675;24675;6
20260313 073800;24680;24688.25;24679.25;24681;11
20260313 073900;24680;24682.75;24678;24678.25;5
20260313 074000;24678.5;24678.5;24678.5;24678.5;1
20260313 074100;24675.5;24677.5;24671;24671;17
20260313 074200;24670;24673.25;24669.5;24669.5;6
20260313 074300;24668;24674.5;24662.25;24671;77
20260313 074400;24671;24675.75;24671;24675.75;6
20260313 074500;24673;24676.5;24668.25;24676.5;7
20260313 074600;24675;24675;24671;24674;3
20260313 074800;24668;24668;24668;24668;1
20260313 074900;24668;24668;24659;24662.75;11
20260313 075000;24659;24660.5;24659;24660.5;4
20260313 075100;24665.5;24670;24665.25;24665.25;13
20260313 075200;24666.5;24666.5;24656.5;24658.25;29
20260313 075300;24656;24665;24656;24661.75;6
20260313 075400;24657;24657;24657;24657;1
20260313 075500;24655;24655;24647.25;24647.25;7
20260313 075600;24647.75;24649.5;24635.25;24635.25;40
20260313 075700;24647.5;24657;24647.5;24651.75;5
20260313 075800;24645.5;24654;24645.5;24650.75;4
20260313 075900;24659.75;24659.75;24659.75;24659.75;1
20260313 080000;24659.75;24664;24659.75;24662.25;5
20260313 080100;24656.5;24664;24651.75;24659.75;7
20260313 080200;24670;24671;24657.5;24659;38
20260313 080300;24654.75;24655;24640;24643.25;16
20260313 080400;24651.5;24651.5;24647.25;24647.25;5
20260313 080500;24639.25;24644;24632;24634.25;22
20260313 080600;24630.25;24640.5;24620;24640.5;205
20260313 080700;24641.25;24643.25;24633;24633.25;25
20260313 080800;24637.25;24637.25;24629.25;24634.75;5
20260313 080900;24644;24646;24634;24634;30
20260313 081000;24631;24631.75;24623.5;24624.75;11
20260313 081100;24620;24620;24612;24617.25;41
20260313 081200;24611;24619.25;24611;24619.25;12
20260313 081300;24630.5;24630.5;24615.5;24615.5;12
20260313 081400;24619.5;24621.5;24611;24621.5;27
20260313 081500;24617.75;24618.25;24615.75;24618.25;3
20260313 081600;24620;24626;24614.25;24618.5;56
20260313 081700;24627.5;24630.75;24627.5;24630.75;9
20260313 081800;24631.5;24636.25;24629;24634.5;12
20260313 081900;24635;24636;24631.25;24631.25;9
20260313 082000;24632.75;24635.5;24630.25;24630.25;7
20260313 082100;24631;24636;24630.75;24630.75;6
20260313 082200;24633.25;24637;24631.25;24631.25;14
20260313 082300;24637.75;24640;24635;24640;14
20260313 082400;24635.5;24646.75;24635;24641;11
20260313 082500;24637;24643;24634.25;24642.5;27
20260313 082600;24640.25;24640.25;24634;24634.5;7
20260313 082700;24637.25;24642;24637.25;24642;8
20260313 082800;24639.75;24641;24622.25;24622.5;24
20260313 082900;24622;24625.25;24622;24622.75;8
20260313 083000;24626.5;24632.5;24626.5;24630;5
20260313 083100;24634;24650.25;24634;24650.25;22
20260313 083200;24641;24650.25;24641;24650.25;8
20260313 083300;24654.75;24655.25;24651.5;24651.5;9
20260313 083400;24651.5;24651.5;24647.5;24647.5;5
20260313 083500;24656.25;24657;24656.25;24657;3
20260313 083600;24657;24661;24653.75;24661;12
20260313 083700;24660;24668.75;24659;24665.75;22
20260313 083800;24666.75;24671.5;24666.25;24671.5;19
20260313 083900;24673;24682;24671.25;24682;13
20260313 084000;24684;24695.75;24683.25;24685.75;45
20260313 084100;24685.75;24688.25;24685.75;24687.5;5
20260313 084200;24687.25;24690.25;24686;24689.5;11
20260313 084300;24686.25;24689.25;24683;24683;3
20260313 084400;24681;24687.75;24676;24687.75;15
20260313 084500;24689;24690;24684;24684;5
20260313 084600;24682.75;24682.75;24672.25;24673.75;5
20260313 084700;24674.5;24674.5;24673.25;24673.25;9
20260313 084800;24673.75;24678.25;24673.75;24678.25;4
20260313 084900;24682;24686;24678.25;24686;5
20260313 085000;24685.5;24705;24685.5;24704.25;25
20260313 085100;24702.5;24711.75;24702.5;24708.5;31
20260313 085200;24709.75;24717.75;24709.75;24717.75;7
20260313 085300;24717.25;24731.5;24714.75;24724.75;51
20260313 085400;24730;24735;24725.75;24730;30
20260313 085500;24725.75;24725.75;24721.75;24721.75;7
20260313 085600;24723;24723.75;24718.25;24720;13
20260313 085700;24730;24730;24730;24730;1
20260313 085800;24729.5;24733.25;24729.5;24732.5;19
20260313 085900;24733;24733;24733;24733;1
20260313 090000;24728.5;24728.5;24724.5;24725.75;4
20260313 090100;24724.5;24757.25;24724.5;24745;186
20260313 090200;24737.5;24756.75;24734;24753.75;62
20260313 090300;24757.5;24777.75;24757.5;24776;30
20260313 090400;24778;24786.25;24767.75;24767.75;33
20260313 090500;24769;24769.75;24755.75;24760;17
20260313 090600;24762.5;24765.75;24754.5;24755.5;10
20260313 090700;24754.75;24756.25;24745;24751.25;28
20260313 090800;24749;24749;24743.75;24747;9
20260313 090900;24747;24748.25;24747;24748.25;3
20260313 091000;24744.25;24744.25;24740;24740;4
20260313 091100;24738;24738.75;24732.75;24738.75;16
20260313 091200;24739.75;24754.75;24734;24734;70
20260313 091300;24730.5;24737.75;24730.5;24737.75;5
20260313 091400;24737.25;24737.25;24737.25;24737.25;1
20260313 091500;24733.75;24740.75;24733.75;24740.75;2
20260313 091600;24737.25;24737.25;24735.25;24735.5;20
20260313 091700;24734.25;24734.25;24730;24730;2
20260313 091800;24726.75;24734.25;24724.75;24734.25;6
20260313 091900;24733.25;24737.25;24732.5;24733;8
20260313 092000;24742;24746;24736;24742;14
20260313 092100;24749.75;24751.25;24747.5;24747.5;6
20260313 092200;24743.5;24747.5;24743.5;24745;5
20260313 092300;24745;24745;24736;24737.75;13
20260313 092400;24737.75;24739.5;24734;24734;5
20260313 092500;24731;24731;24724.5;24728;25
20260313 092600;24728.25;24732.25;24725.25;24730;9
20260313 092700;24730.75;24730.75;24730.75;24730.75;1
20260313 092800;24742.25;24742.25;24741.25;24741.25;2
20260313 092900;24739.75;24741.25;24739.75;24741.25;4
20260313 093000;24741.25;24741.25;24741.25;24741.25;2
20260313 093100;24740;24742.75;24735.75;24735.75;4
20260313 093200;24730.75;24741.5;24730.75;24738;9
20260313 093300;24728.5;24730;24726.75;24729.5;9
20260313 093400;24731.25;24731.25;24725;24726.25;9
20260313 093700;24743;24743;24732.25;24735;20
20260313 093800;24740.5;24742;24740.5;24742;2
20260313 093900;24741.5;24741.5;24731;24731;51
20260313 094000;24730.25;24731;24723.25;24724.75;5
20260313 094100;24723.5;24730;24723.5;24724.5;11
20260313 094200;24729;24735.5;24729;24735.5;3
20260313 094300;24730.75;24730.75;24730.75;24730.75;2
20260313 094400;24729.25;24740;24729.25;24740;8
20260313 094500;24740;24744.25;24740;24740.5;9
20260313 094600;24736;24736;24736;24736;1
20260313 094700;24737.25;24737.25;24736.5;24736.5;4
20260313 094800;24735;24735;24735;24735;1
20260313 094900;24740;24747;24740;24745.25;7
20260313 095000;24743.5;24743.5;24740.25;24742;26
20260313 095100;24752;24754;24752;24754;3
20260313 095200;24747.25;24760;24747.25;24759.25;5
20260313 095300;24759.25;24760.5;24753.5;24756;23
20260313 095400;24752.25;24752.25;24744;24750.25;4
20260313 095500;24748.25;24748.25;24746;24746;2
20260313 095600;24741.25;24741.25;24741.25;24741.25;1
20260313 095700;24752.75;24752.75;24752.75;24752.75;1
20260313 095800;24753;24753;24746.75;24747;9
20260313 100000;24747.25;24747.25;24741.25;24741.25;2
20260313 100100;24738.5;24747.5;24736.75;24747.5;35
20260313 100200;24750;24761;24750;24758.75;7
20260313 100300;24763.75;24776.75;24759;24776.75;20
20260313 100400;24773.75;24776.5;24764.5;24767.5;19
20260313 100500;24766;24770;24762;24762;8
20260313 100600;24765;24777;24764.75;24777;24
20260313 100700;24774.75;24778.5;24774.75;24778.5;8
20260313 100800;24775;24775;24771.5;24771.5;2
20260313 100900;24772.75;24774.75;24769.75;24772.75;13
20260313 101000;24771;24771.25;24771;24771;3
20260313 101100;24771.5;24780.25;24771.5;24780.25;8
20260313 101200;24783.5;24790;24783.5;24790;9
20260313 101300;24793;24801;24790.25;24801;62
20260313 101400;24801.75;24804;24797.5;24797.5;32
20260313 101500;24800;24801.5;24797.75;24801.5;20
20260313 101600;24801.75;24805;24798;24803.75;28
20260313 101700;24802.5;24802.5;24797.75;24800;17
20260313 101800;24804.25;24804.75;24802;24802;18
20260313 101900;24805;24806;24803;24803.75;11
20260313 102000;24806;24816.25;24805;24816.25;44
20260313 102100;24814.75;24821.5;24813.75;24813.75;14
20260313 102200;24813.25;24814.5;24812.25;24814.5;8
20260313 102300;24815.5;24815.5;24810;24814.5;7
20260313 102400;24814.5;24815;24812;24812.25;15
20260313 102500;24812.25;24812.25;24809;24809;8
20260313 102600;24810;24811.5;24804;24804;5
20260313 102700;24803;24803;24798.5;24800.75;19
20260313 102800;24794.75;24794.75;24793.25;24793.25;3
20260313 102900;24792.5;24794.5;24790.75;24792;12
20260313 103000;24790.75;24793.75;24790.75;24791;3
20260313 103100;24797.5;24797.5;24784;24786.25;9
20260313 103200;24786;24790.5;24781.5;24781.5;18
20260313 103300;24780.75;24790;24780.75;24790;4
20260313 103500;24794;24796;24794;24796;2
20260313 103600;24795.75;24797.25;24791.5;24793;11
20260313 103700;24790;24790;24790;24790;2
20260313 103900;24791;24793.25;24789.5;24793;8
20260313 104100;24794.25;24796.5;24794.25;24796.5;3
20260313 104300;24789.25;24789.25;24788.5;24789.25;8
20260313 104400;24788.75;24791.25;24788.75;24791.25;7
20260313 104500;24788.25;24788.25;24786.25;24786.25;2
20260313 104600;24786.5;24786.5;24785;24785;3
20260313 104700;24794.25;24794.25;24794.25;24794.25;2
20260313 104800;24794.5;24806.75;24794.5;24806.75;34
20260313 104900;24809.5;24821.5;24801.5;24817.5;52
20260313 105000;24820;24822.25;24818.25;24818.25;9
20260313 105100;24822.5;24834;24818.25;24834;48
20260313 105200;24833.75;24833.75;24823.5;24823.5;19
20260313 105300;24827.75;24828;24813.75;24819;27
20260313 105400;24816.75;24816.75;24810.25;24813;12
20260313 105500;24809;24816.25;24809;24814;8
20260313 105600;24811.75;24815;24808.75;24815;8
20260313 105700;24817.75;24821;24814.75;24821;7
20260313 105800;24816;24816.25;24816;24816.25;3
20260313 110000;24825;24831;24825;24831;5
20260313 110100;24828;24845;24828;24845;27
20260313 110200;24839.25;24847.5;24839.25;24839.25;24
20260313 110300;24843.75;24846;24841.75;24846;5
20260313 110400;24842.5;24847.25;24841.75;24843.25;12
20260313 110500;24845.25;24845.25;24840.5;24845;14
20260313 110600;24838;24840.5;24836.75;24840.5;14
20260313 110700;24839.5;24855;24839.5;24842;22
20260313 110800;24838.25;24842.75;24837.25;24840;32
20260313 110900;24834;24834;24819.75;24819.75;6
20260313 111000;24824;24832.25;24824;24832.25;14
20260313 111100;24835;24837;24815.25;24815.25;5
20260313 111200;24815;24824;24815;24824;18
20260313 111300;24825.75;24825.75;24825.75;24825.75;1
20260313 111400;24828.25;24833.5;24827;24827;8
20260313 111500;24825.75;24825.75;24824.25;24824.25;2
20260313 111700;24826;24834;24826;24830.75;9
20260313 111800;24832.5;24842.75;24829.75;24836.75;27
20260313 111900;24841.75;24844;24840.5;24844;35
20260313 112000;24841;24846;24841;24845;7
20260313 112100;24843.25;24847.5;24842.25;24847.5;9
20260313 112200;24836.75;24841.25;24835.5;24841.25;10
20260313 112300;24844.25;24848.75;24844.25;24847.25;4
20260313 112400;24847.25;24847.25;24844;24844;2
20260313 112500;24841.5;24843.5;24841.25;24843.5;8
20260313 112600;24843.75;24845;24843.75;24845;2
20260313 112700;24848.75;24864;24848.75;24857.25;46
20260313 112800;24857.25;24857.25;24853.25;24855;15
