strategy,direction,entry_ts,entry_price,stop_price,target_price,exit_ts,exit_price,exit_reason,pnl_dollars,pnl_ticks,hold_min,year
vwap_pullback_v2,LONG,2026-04-15 08:12:00+00:00,26007.75,25982.5,26053.25,2026-04-15 09:39:00+00:00,25982.5,stop,-50.5,-101,87.0,2026
bias_momentum,LONG,2026-04-15 08:25:00+00:00,26018.5,25987.0,26097.25,2026-04-15 09:16:00+00:00,25987.0,stop,-63.0,-126,51.0,2026
vwap_band_pullback,LONG,2026-04-15 09:15:00+00:00,25994.75,25967.085041971535,26050.07991605693,2026-04-15 10:15:00+00:00,25967.085041971535,stop,-55.5,-111,60.0,2026
bias_momentum,SHORT,2026-04-15 09:40:00+00:00,25987.75,26017.0,25914.625,2026-04-15 11:46:00+00:00,26017.0,stop,-58.5,-117,126.0,2026
vwap_pullback_v2,SHORT,2026-04-15 09:43:00+00:00,25986.75,26012.75,25940.0,2026-04-15 10:33:00+00:00,25940.0,target,93.5,187,50.0,2026
spring_setup,SHORT,2026-04-15 10:25:00+00:00,25953.0,25975.5,25919.25,2026-04-15 10:42:00+00:00,25975.5,stop,-45.0,-90,17.0,2026
vwap_band_reversion,LONG,2026-04-15 10:40:00+00:00,25979.0,25935.71531621155,26000.50814521602,2026-04-15 11:31:00+00:00,26000.50814521602,target,43.0,86,51.0,2026
spring_setup,SHORT,2026-04-15 10:46:00+00:00,25981.5,26004.5,25947.0,2026-04-15 11:46:00+00:00,26004.5,stop,-46.0,-92,60.0,2026
spring_setup,SHORT,2026-04-15 11:46:00+00:00,25986.0,26036.0,25911.0,2026-04-15 13:30:00+00:00,26036.0,stop,-100.0,-200,104.0,2026
bias_momentum,SHORT,2026-04-15 12:10:00+00:00,25983.0,26025.25,25877.375,2026-04-15 13:28:00+00:00,26025.25,stop,-84.5,-169,78.0,2026
spring_setup,LONG,2026-04-15 13:35:00+00:00,26020.5,25985.0,26073.75,2026-04-15 13:44:00+00:00,25985.0,stop,-71.0,-142,9.0,2026
bias_momentum,LONG,2026-04-15 13:35:00+00:00,26020.5,26005.5,26058.0,2026-04-15 13:40:00+00:00,26058.0,target,75.0,150,5.0,2026
bias_momentum,LONG,2026-04-15 13:45:00+00:00,26011.0,25996.0,26048.5,2026-04-15 13:48:00+00:00,26048.5,target,75.0,150,3.0,2026
bias_momentum,LONG,2026-04-15 13:48:00+00:00,26036.75,26021.75,26074.25,2026-04-15 14:00:00+00:00,26074.25,target,75.0,150,12.0,2026
spring_setup,LONG,2026-04-15 13:49:00+00:00,26037.5,25997.75,26097.125,2026-04-15 14:15:00+00:00,26097.125,target,119.0,238,26.0,2026
orb_v2,LONG,2026-04-15 13:55:00+00:00,26059.75,26044.75,26089.75,2026-04-15 13:56:00+00:00,26044.75,stop,-30.0,-60,1.0,2026
opening_session,LONG,2026-04-15 13:55:00+00:00,26046.5,26031.5,26084.88,2026-04-15 14:03:00+00:00,26084.88,target,77.0,154,8.0,2026
bias_momentum,LONG,2026-04-15 14:00:00+00:00,26053.5,26043.0,26079.75,2026-04-15 14:02:00+00:00,26079.75,target,52.5,105,2.0,2026
bias_momentum,LONG,2026-04-15 14:02:00+00:00,26073.75,26058.75,26111.25,2026-04-15 14:06:00+00:00,26058.75,stop,-30.0,-60,4.0,2026
opening_session,LONG,2026-04-15 14:03:00+00:00,26084.75,26069.75,26123.12,2026-04-15 14:05:00+00:00,26069.75,stop,-30.0,-60,2.0,2026
opening_session,LONG,2026-04-15 14:05:00+00:00,26072.75,26057.75,26111.12,2026-04-15 14:06:00+00:00,26057.75,stop,-30.0,-60,1.0,2026
opening_session,LONG,2026-04-15 14:06:00+00:00,26074.75,26059.75,26113.12,2026-04-15 14:08:00+00:00,26059.75,stop,-30.0,-60,2.0,2026
bias_momentum,LONG,2026-04-15 14:10:00+00:00,26070.5,26055.5,26108.0,2026-04-15 14:23:00+00:00,26108.0,target,75.0,150,13.0,2026
spring_setup,LONG,2026-04-15 14:18:00+00:00,26093.5,26052.75,26154.625,2026-04-15 14:49:00+00:00,26154.625,target,122.0,244,31.0,2026
