strategy,window_idx,is_start,is_end,oos_start,oos_end,best_params,is_pf,is_trades,oos_pf,oos_trades,oos_net,wfe,degraded
opening_session,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.75}",1.4782,466,1.4555,122,1226.46,0.9846,False
vwap_band_pullback,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 1.8}",1.2291,77,0.5244,20,-272.4,0.4266,True
compression_breakout_v2,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,"{""bb_std"": 1.6, ""target_rr"": 2.5}",0.3509,48,0.3592,20,-202.9,1.0237,False
noise_area,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,527,0.0,94,-965.08,0.0,False
es_nq_confluence,6,2022-11-17,2023-11-16,2023-11-17,2024-02-16,"{""boost_threshold"": 30.0, ""corr_threshold"": 0.9}",3.5941,12,0.0,0,0.0,0.0,True
opening_session,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.75}",1.4618,492,1.4267,113,1110.34,0.9761,False
vwap_band_pullback,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 0.8, ""target_rr"": 1.8}",1.377,83,0.6944,15,-186.8,0.5043,True
compression_breakout_v2,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,"{""bb_std"": 1.6, ""target_rr"": 2.0}",0.282,50,0.2996,26,-319.32,1.0622,False
noise_area,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,516,0.0,106,-510.92,0.0,False
es_nq_confluence,7,2023-02-17,2024-02-16,2024-02-17,2024-05-16,"{""boost_threshold"": 30.0, ""corr_threshold"": 0.9}",3.8508,5,0.0,1,-16.82,0.0,True
opening_session,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.75}",1.5436,487,1.6696,108,1624.94,1.0816,False
vwap_band_pullback,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""min_tf_votes"": 3, ""min_volume_ratio"": 1.0, ""target_rr"": 1.8}",1.2241,53,0.1899,10,-443.2,0.1551,True
compression_breakout_v2,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""bb_std"": 1.4, ""target_rr"": 2.5}",0.2847,56,0.927,22,-27.04,3.2558,False
noise_area,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,507,0.0,114,-549.48,0.0,False
es_nq_confluence,8,2023-05-17,2024-05-16,2024-05-17,2024-08-16,"{""boost_threshold"": 25.0, ""corr_threshold"": 0.8}",3.209,9,1.2836,9,28.62,0.4,True
opening_session,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.75}",1.4999,470,2.0501,106,2487.58,1.3668,False
vwap_band_pullback,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,"{""min_tf_votes"": 2, ""min_volume_ratio"": 1.0, ""target_rr"": 1.8}",0.6788,63,1.4513,11,231.48,2.1381,False
compression_breakout_v2,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,"{""bb_std"": 1.4, ""target_rr"": 2.5}",0.4662,69,0.1417,16,-425.12,0.3039,True
noise_area,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,"{""band_mult"": 1.3, ""trade_freq_minutes"": 60}",0.0,500,0.0,101,-486.82,0.0,False
es_nq_confluence,9,2023-08-17,2024-08-16,2024-08-17,2024-11-16,"{""boost_threshold"": 20.0, ""corr_threshold"": 0.85}",1.8916,33,0.0,2,-33.64,0.0,True
opening_session,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,"{""max_trades_per_day"": 2, ""open_drive_min_displacement_pts"": 10, ""orb_target_pct_of_or"": 0.5}",1.7905,456,2.0124,81,1639.58,1.124,False
vwap_band_pullback,10,2023-11-17,2024-11-16,2024-11-17,2025-02-16,"{""min_tf_votes"": 2, ""min_volume_ratio"": 1.0, ""target_rr"": 1.8}",0.9355,57,0.4876,6,-165.92,0.5212,True
