entry_ts,entry_price,stop_price,target_price,direction,exit_ts,exit_price,exit_reason,pnl_points,pnl_dollars,category
2026-06-04T04:29:02.873674+00:00,30297.75,30300.0,30294.375,SHORT,2026-06-04 04:31:00+00:00,30300.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:29:02.890722+00:00,30297.75,30300.0,30294.375,SHORT,2026-06-04 04:31:00+00:00,30300.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:30:03.158904+00:00,30304.25,30306.5,30300.875,SHORT,2026-06-04 04:31:00+00:00,30306.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:31:03.172500+00:00,30300.75,30303.0,30297.375,SHORT,2026-06-04 04:33:00+00:00,30303.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:32:03.441405+00:00,30313.75,30316.0,30310.375,SHORT,2026-06-04 04:33:00+00:00,30316.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:34:02.946627+00:00,30315.25,30313.0,30318.625,LONG,2026-06-04 04:36:00+00:00,30318.625,target,3.375,13.5,A_session_block
2026-06-04T04:36:05.170425+00:00,30326.75,30324.5,30330.125,LONG,2026-06-04 04:37:00+00:00,30324.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:40:05.111470+00:00,30306.25,30308.5,30302.875,SHORT,2026-06-04 04:42:00+00:00,30308.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:43:05.686477+00:00,30299.25,30301.5,30295.875,SHORT,2026-06-04 04:45:00+00:00,30301.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:44:04.961626+00:00,30300.5,30302.75,30297.125,SHORT,2026-06-04 04:45:00+00:00,30302.75,stop,-2.25,-9.0,A_session_block
2026-06-04T04:44:07.038891+00:00,30299.25,30301.5,30295.875,SHORT,2026-06-04 04:45:00+00:00,30301.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:45:07.157700+00:00,30300.25,30302.5,30296.875,SHORT,2026-06-04 04:46:00+00:00,30302.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:46:07.861178+00:00,30308.0,30310.25,30304.625,SHORT,2026-06-04 04:47:00+00:00,30310.25,stop,-2.25,-9.0,A_session_block
2026-06-04T04:49:05.161484+00:00,30329.25,30327.0,30332.625,LONG,2026-06-04 04:51:00+00:00,30327.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:49:07.689566+00:00,30332.0,30329.75,30335.375,LONG,2026-06-04 04:51:00+00:00,30329.75,stop,-2.25,-9.0,A_session_block
2026-06-04T04:51:07.989083+00:00,30324.5,30326.75,30321.125,SHORT,2026-06-04 04:52:00+00:00,30326.75,stop,-2.25,-9.0,A_session_block
2026-06-04T04:53:08.337911+00:00,30337.75,30335.5,30341.125,LONG,2026-06-04 04:54:00+00:00,30335.5,stop,-2.25,-9.0,A_session_block
2026-06-04T04:54:06.016671+00:00,30336.0,30333.75,30339.375,LONG,2026-06-04 04:56:00+00:00,30339.375,target,3.375,13.5,A_session_block
2026-06-04T04:54:09.713471+00:00,30336.25,30334.0,30339.625,LONG,2026-06-04 04:56:00+00:00,30339.625,target,3.375,13.5,A_session_block
2026-06-04T04:55:09.761551+00:00,30347.0,30344.75,30350.375,LONG,2026-06-04 04:56:00+00:00,30344.75,stop,-2.25,-9.0,A_session_block
2026-06-04T04:56:10.433939+00:00,30340.25,30338.0,30343.625,LONG,2026-06-04 04:58:00+00:00,30338.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:57:10.452678+00:00,30342.0,30339.75,30345.375,LONG,2026-06-04 04:58:00+00:00,30339.75,stop,-2.25,-9.0,A_session_block
2026-06-04T04:58:10.473141+00:00,30338.25,30336.0,30341.625,LONG,2026-06-04 05:00:00+00:00,30336.0,stop,-2.25,-9.0,A_session_block
2026-06-04T04:59:10.700099+00:00,30333.0,30335.25,30329.625,SHORT,2026-06-04 05:00:00+00:00,30335.25,stop,-2.25,-9.0,A_session_block
2026-05-28T10:25:50.308183+00:00,30246.25,30244.0,30249.625,LONG,2026-05-28 10:26:00+00:00,30249.625,target,3.375,13.5,B_signal_rrelax
2026-06-01T08:55:03.413504+00:00,30375.5,30377.75,30372.125,SHORT,2026-06-01 08:56:00+00:00,30372.125,target,3.375,13.5,B_signal_rrelax
2026-06-01T10:21:38.324621+00:00,30478.75,30476.5,30482.125,LONG,2026-06-01 10:22:00+00:00,30482.125,target,3.375,13.5,B_signal_rrelax
2026-06-01T10:29:38.968778+00:00,30486.0,30483.75,30489.375,LONG,2026-06-01 10:30:00+00:00,30483.75,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:02:54.042824+00:00,30587.25,30585.0,30590.625,LONG,2026-06-02 09:03:00+00:00,30585.0,stop,-2.25,-9.0,B_signal_rrelax
2026-06-02T09:05:56.264278+00:00,30604.75,30602.5,30608.125,LONG,2026-06-02 09:06:00+00:00,30602.5,stop,-2.25,-9.0,B_signal_rrelax
